GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,IuReferenceKind,0,134,0,0,0,21,0,5,0,5
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,IuExecutable,0,6,0,0,0,1,0,1,0,1
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,IuTypeKey.Kind,0,33,0,0,0,6,0,1,0,1
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,IuComponentVersion.new IuComponentVersion() {...},0,93,0,14,0,16,0,15,0,8
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,IuAnnotatedElement,0,6,0,0,0,1,0,2,0,2
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,IuResourceKey,0,152,0,14,0,28,0,18,0,11
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,IuComponent.Kind,0,68,0,0,0,13,0,4,0,4
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,DefaultInterceptor.Scope,0,21,0,0,0,4,0,1,0,1
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,IuComponentVersion,0,157,0,32,0,46,0,20,0,4
IU Java Utilities API Reference/iu-java-type-api,edu.iu.type,IuComponent,0,96,0,2,0,15,0,9,0,8
IU Java Utilities API Reference/iu-java-type-base,edu.iu.type.base,FilteringClassLoader,0,66,0,16,0,19,0,10,0,2
IU Java Utilities API Reference/iu-java-type-base,edu.iu.type.base,TemporaryFile.new Object() {...},0,3,0,0,0,1,0,1,0,1
IU Java Utilities API Reference/iu-java-type-base,edu.iu.type.base,ModularClassLoader,0,674,0,86,0,149,0,61,0,18
IU Java Utilities API Reference/iu-java-type-base,edu.iu.type.base,CloseableModuleFinder.Ref,0,53,0,8,0,17,0,7,0,3
IU Java Utilities API Reference/iu-java-type-base,edu.iu.type.base,CloseableModuleFinder,0,109,0,12,0,23,0,10,0,4
IU Java Utilities API Reference/iu-java-type-base,edu.iu.type.base,ModularClassLoader.new Object() {...},0,6,0,0,0,1,0,1,0,1
IU Java Utilities API Reference/iu-java-type-base,edu.iu.type.base,TemporaryFile,0,112,0,8,0,29,0,10,0,6
IU Java Utilities API Reference/iu-java-type-base,edu.iu.type.base,ModularClassLoader.new BiPredicate() {...},0,14,0,0,0,4,0,2,0,2
IU Java Utilities API Reference/iu-java-type-base,edu.iu.type.base,ModularClassLoader.new Enumeration() {...},0,18,0,0,0,3,0,3,0,3
IU Java Utilities API Reference/iu-java-type-impl,iu.type,ArchiveSource,0,252,0,30,0,62,0,24,0,9
IU Java Utilities API Reference/iu-java-type-impl,iu.type,ComponentResourceReference,0,253,0,36,0,54,0,29,0,11
IU Java Utilities API Reference/iu-java-type-impl,iu.type,TypeFactory.new Record() {...},0,9,0,0,0,1,0,1,0,1
IU Java Utilities API Reference/iu-java-type-impl,iu.type,PropertyFacade,0,204,0,10,0,41,0,19,0,14
IU Java Utilities API Reference/iu-java-type-impl,iu.type,ComponentResource,0,272,0,30,0,60,0,32,0,17
