GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IU Java Utilities API Reference/iu-java-client,iu.client,TimeZoneJsonAdapter,0,40,0,4,0,10,0,5,0,3
IU Java Utilities API Reference/iu-java-client,iu.client,CollectionAdapter,0,24,0,0,0,7,0,3,0,3
IU Java Utilities API Reference/iu-java-client,iu.client,BasicJsonAdapter,0,229,0,44,0,56,0,26,0,4
IU Java Utilities API Reference/iu-java-client,iu.client,EnumerationAdapter,0,13,0,0,0,4,0,3,0,3
IU Java Utilities API Reference/iu-java-client,iu.client,JsonSerializer,0,144,0,19,0,32,0,16,0,6
IU Java Utilities API Reference/iu-java-client,iu.client,OptionalJsonAdapter,0,29,0,2,0,8,0,5,0,4
IU Java Utilities API Reference/iu-java-client,iu.client,EnumerationAdapter.new Enumeration() {...},0,22,0,0,0,4,0,3,0,3
IU Java Utilities API Reference/iu-java-client,iu.client,NumberAdapter,0,182,0,8,0,27,0,14,0,10
IU Java Utilities API Reference/iu-java-client,iu.client,ParsingJsonAdapter,0,66,0,6,0,19,0,8,0,5
IU Java Utilities API Reference/iu-java-client,iu.client,JsonProxy,0,275,0,34,0,61,0,24,0,7
IU Java Utilities API Reference/iu-java-client,iu.client,StreamAdapter,0,16,0,0,0,4,0,3,0,3
IU Java Utilities API Reference/iu-java-client,iu.client,JsonObjectAdapter,0,104,0,10,0,20,0,10,0,5
IU Java Utilities API Reference/iu-java-client,iu.client,Vault.new Object() {...},0,6,0,0,0,1,0,1,0,1
IU Java Utilities API Reference/iu-java-client,iu.client,ArrayAdapter,0,19,0,0,0,5,0,3,0,3
IU Java Utilities API Reference/iu-java-client,iu.client,IteratorAdapter,0,9,0,0,0,4,0,3,0,3
IU Java Utilities API Reference/iu-java-client,iu.client,BooleanJsonAdapter,0,70,0,18,0,15,0,13,0,4
IU Java Utilities API Reference/iu-java-client,iu.client,JsonArrayAdapter,0,61,0,8,0,15,0,8,0,4
IU Java Utilities API Reference/iu-java-client,iu.client,VaultKeyedValue,0,95,0,10,0,19,0,13,0,8
IU Java Utilities API Reference/iu-java-client,iu.client,BinaryJsonAdapter,0,27,0,4,0,9,0,5,0,3
IU Java Utilities API Reference/iu-java-client,iu.client,Vault,0,808,1,65,0,164,1,69,0,37
